분기말,매수일,매도일,시장국면,코스피_수익률(%),밸런스형_수익률(%),밸런스형_승률(%),저평가형_수익률(%),저평가형_승률(%),모멘텀형_수익률(%),모멘텀형_승률(%),국면대응형_수익률(%),국면대응형_승률(%)
2020-06-30,2020-08-14,2020-11-14,강세장,3.6,13.2,55.0,1.5,55.0,-0.6,45.0,-2.0,45.0
2020-09-30,2020-11-14,2021-02-14,강세장,21.9,16.8,70.0,10.9,65.0,14.1,65.0,22.3,85.0
2020-12-31,2021-02-14,2021-05-15,강세장,0.2,14.8,70.0,13.9,85.0,3.7,50.0,11.7,60.0
2021-03-31,2021-05-15,2021-08-14,강세장,1.2,13.0,50.0,13.5,50.0,-1.4,40.0,0.6,35.0
2021-06-30,2021-08-14,2021-11-14,강세장,-5.5,1.1,35.0,-6.1,15.0,21.0,35.0,23.3,45.0
2021-09-30,2021-11-14,2022-02-14,약세장,-9.8,6.0,55.0,4.8,40.0,-15.3,25.0,3.3,30.0
2021-12-31,2022-02-14,2022-05-15,약세장,-3.7,7.8,85.0,3.1,60.0,-1.6,55.0,3.5,65.0
2022-03-31,2022-05-15,2022-08-14,약세장,-2.6,-8.2,30.0,-10.1,15.0,-10.8,20.0,-7.5,25.0
2022-06-30,2022-08-14,2022-11-14,약세장,-2.3,-4.5,30.0,-5.7,20.0,-1.6,45.0,-4.1,25.0
2022-09-30,2022-11-14,2023-02-14,횡보장,-0.4,8.0,80.0,6.0,60.0,8.0,45.0,7.5,80.0
2022-12-31,2023-02-14,2023-05-15,횡보장,0.6,1.2,40.0,-0.2,45.0,1.3,55.0,-2.2,30.0
2023-03-31,2023-05-15,2023-08-14,강세장,3.7,13.6,65.0,8.9,65.0,18.6,80.0,19.9,70.0
2023-06-30,2023-08-14,2023-11-14,강세장,-5.4,-6.3,25.0,-2.6,35.0,-0.9,25.0,-7.8,20.0
2023-09-30,2023-11-14,2024-02-14,횡보장,7.7,1.1,45.0,2.7,55.0,-3.2,35.0,1.6,50.0
2023-12-31,2024-02-14,2024-05-15,강세장,4.2,9.8,70.0,9.2,65.0,10.3,50.0,19.6,65.0
2024-03-31,2024-05-15,2024-08-14,강세장,-3.9,5.0,55.0,0.7,40.0,12.6,50.0,11.8,45.0
2024-06-30,2024-08-14,2024-11-14,횡보장,-8.5,-4.0,45.0,-6.6,20.0,-0.6,45.0,-3.8,40.0
2024-09-30,2024-11-14,2025-02-14,약세장,7.1,5.2,60.0,0.7,55.0,7.3,70.0,2.6,55.0
2024-12-31,2025-02-14,2025-05-15,횡보장,1.2,10.9,70.0,9.6,80.0,12.9,70.0,7.6,60.0
2025-03-31,2025-05-15,2025-08-14,횡보장,23.1,27.6,80.0,19.2,80.0,36.1,95.0,28.0,85.0
2025-06-30,2025-08-14,2025-11-14,강세장,24.4,14.7,60.0,14.7,65.0,22.0,55.0,32.5,75.0
2025-09-30,2025-11-14,2026-02-14,강세장,37.3,31.6,90.0,9.6,65.0,30.0,65.0,24.6,70.0
2025-12-31,2026-02-14,2026-05-15,강세장,32.0,11.8,35.0,-3.1,35.0,20.7,55.0,25.5,55.0
2026-03-31,2026-05-15,2026-08-13,강세장,9.2,-50.3,0.0,-50.3,0.0,-50.3,0.0,-50.3,0.0
