분기말,매수일,매도일,시장국면,코스피_수익률(%),밸런스형_수익률(%),밸런스형_승률(%),저평가형_수익률(%),저평가형_승률(%),모멘텀형_수익률(%),모멘텀형_승률(%),국면대응형_수익률(%),국면대응형_승률(%),year
2015-12-31,2016-02-14,2016-05-15,약세장,5.6,10.5,75.0,7.2,75.0,2.8,53.3,7.2,75.0,2016
2016-03-31,2016-05-15,2016-08-14,횡보장,4.2,4.1,50.0,4.3,45.0,-0.8,46.7,4.1,50.0,2016
2016-06-30,2016-08-14,2016-11-14,강세장,-3.6,-3.3,40.0,-5.4,40.0,-5.9,20.0,-6.5,25.0,2016
2016-09-30,2016-11-14,2017-02-14,횡보장,5.1,3.1,50.0,2.7,40.0,3.4,73.3,2.9,50.0,2016
2016-12-31,2017-02-14,2017-05-15,횡보장,10.4,9.3,75.0,9.8,90.0,-4.2,33.3,9.6,80.0,2017
2017-03-31,2017-05-15,2017-08-14,강세장,1.9,5.1,50.0,4.5,60.0,4.7,40.0,8.4,50.0,2017
2017-06-30,2017-08-14,2017-11-14,강세장,8.2,11.3,65.0,8.1,70.0,10.3,46.7,19.0,70.0,2017
2017-09-30,2017-11-14,2018-02-14,강세장,-4.1,-3.1,45.0,-4.4,40.0,4.6,66.7,0.1,55.0,2017
2017-12-31,2018-02-14,2018-05-15,횡보장,1.5,3.1,45.0,-2.3,35.0,-0.8,46.7,-0.2,40.0,2018
2018-03-31,2018-05-15,2018-08-14,횡보장,-8.1,-4.6,25.0,-8.5,25.0,-5.3,33.3,-5.5,25.0,2018
2018-06-30,2018-08-14,2018-11-14,약세장,-8.4,-11.4,15.0,-12.7,15.0,-15.9,13.3,-12.3,20.0,2018
2018-09-30,2018-11-14,2019-02-14,약세장,7.6,5.1,65.0,9.8,85.0,-6.7,26.7,9.7,85.0,2018
2018-12-31,2019-02-14,2019-05-15,횡보장,-6.0,5.0,50.0,1.8,30.0,8.6,66.7,5.9,50.0,2019
2019-03-31,2019-05-15,2019-08-14,약세장,-7.4,-2.6,30.0,-7.8,25.0,-2.4,26.7,-9.7,20.0,2019
2019-06-30,2019-08-14,2019-11-14,약세장,10.4,3.2,60.0,3.8,60.0,-0.2,46.7,4.3,65.0,2019
2019-09-30,2019-11-14,2020-02-14,횡보장,4.9,6.8,45.0,4.9,40.0,-4.1,40.0,9.4,55.0,2019
2019-12-31,2020-02-14,2020-05-15,강세장,-14.1,17.5,35.0,-5.1,30.0,18.3,40.0,14.4,35.0,2020
2020-03-31,2020-05-15,2020-08-14,약세장,24.9,24.3,75.0,23.0,70.0,33.3,93.3,26.4,75.0,2020
2020-06-30,2020-08-14,2020-11-14,강세장,3.6,-3.5,50.0,-2.9,55.0,-2.7,40.0,-4.7,45.0,2020
2020-09-30,2020-11-14,2021-02-14,강세장,21.9,29.5,80.0,19.7,70.0,16.2,66.7,24.2,70.0,2020
2020-12-31,2021-02-14,2021-05-15,강세장,0.2,7.6,65.0,6.1,55.0,12.0,60.0,10.6,70.0,2021
2021-03-31,2021-05-15,2021-08-14,강세장,1.2,18.7,55.0,8.6,35.0,13.7,66.7,19.8,60.0,2021
2021-06-30,2021-08-14,2021-11-14,강세장,-5.5,18.1,40.0,-8.6,30.0,30.1,40.0,18.6,40.0,2021
2021-09-30,2021-11-14,2022-02-14,약세장,-9.8,1.3,35.0,-5.2,20.0,-16.5,6.7,-5.2,20.0,2021
2021-12-31,2022-02-14,2022-05-15,약세장,-3.7,4.2,70.0,2.0,45.0,2.0,60.0,-0.6,40.0,2022
2022-03-31,2022-05-15,2022-08-14,약세장,-2.6,-12.5,20.0,-13.0,15.0,-8.2,26.7,-12.0,15.0,2022
2022-06-30,2022-08-14,2022-11-14,약세장,-2.3,-6.0,25.0,-6.6,20.0,0.5,46.7,-8.3,20.0,2022
2022-09-30,2022-11-14,2023-02-14,횡보장,-0.4,6.3,70.0,3.0,50.0,24.0,60.0,6.2,65.0,2022
2022-12-31,2023-02-14,2023-05-15,횡보장,0.6,8.9,60.0,-4.6,45.0,11.5,66.7,10.3,65.0,2023
2023-03-31,2023-05-15,2023-08-14,강세장,3.7,10.0,75.0,5.4,45.0,11.9,66.7,15.5,70.0,2023
2023-06-30,2023-08-14,2023-11-14,강세장,-5.4,-6.8,25.0,-9.7,15.0,-7.0,20.0,-8.6,20.0,2023
2023-09-30,2023-11-14,2024-02-14,횡보장,7.7,1.8,55.0,2.4,55.0,-1.8,40.0,0.3,45.0,2023
2023-12-31,2024-02-14,2024-05-15,강세장,4.2,28.7,65.0,5.3,45.0,9.1,46.7,14.2,70.0,2024
2024-03-31,2024-05-15,2024-08-14,강세장,-3.9,-0.4,35.0,-2.7,40.0,7.3,46.7,1.3,30.0,2024
2024-06-30,2024-08-14,2024-11-14,횡보장,-8.5,-8.6,35.0,-6.0,35.0,-1.7,40.0,-8.6,35.0,2024
2024-09-30,2024-11-14,2025-02-14,약세장,7.1,6.9,75.0,10.8,80.0,5.4,66.7,9.9,75.0,2024
2024-12-31,2025-02-14,2025-05-15,횡보장,1.2,7.3,80.0,1.2,60.0,4.0,60.0,7.3,80.0,2025
2025-03-31,2025-05-15,2025-08-14,횡보장,23.1,29.7,95.0,12.4,65.0,31.7,86.7,30.7,95.0,2025
2025-06-30,2025-08-14,2025-11-14,강세장,24.4,16.9,55.0,18.9,55.0,24.9,46.7,6.4,55.0,2025
2025-09-30,2025-11-14,2026-02-14,강세장,37.3,37.1,80.0,31.8,90.0,24.3,66.7,27.8,75.0,2025
2025-12-31,2026-02-14,2026-05-15,강세장,32.0,25.3,70.0,8.0,45.0,34.3,66.7,18.7,55.0,2026
