시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,10.8,55.6,4.8,30.5,-3.8,1.79,0.89
강세장,저평가형,17,7.1,51.5,1.1,26.4,-7.7,1.2,0.19
강세장,모멘텀형,17,9.7,49.1,3.7,27.0,-6.3,1.66,0.66
강세장,국면대응형,17,12.2,55.3,6.2,33.0,-2.9,2.3,1.06
횡보장,밸런스형,13,6.9,56.5,4.1,28.9,-12.4,1.06,0.88
횡보장,저평가형,13,5.2,58.5,2.4,19.6,-13.1,1.02,0.78
횡보장,모멘텀형,13,6.8,53.5,4.1,31.6,-11.2,0.96,0.68
횡보장,국면대응형,13,7.4,56.9,4.7,35.3,-9.8,1.1,0.81
약세장,밸런스형,11,2.1,49.5,0.2,23.4,-10.5,0.23,0.06
약세장,저평가형,11,2.5,50.0,0.6,28.1,-13.6,0.27,0.17
약세장,모멘텀형,11,0.3,42.7,-1.6,30.0,-13.2,-0.1,-0.55
약세장,국면대응형,11,2.5,49.1,0.6,33.2,-12.2,0.24,0.17
