quarter,sig_date,next_sig_date,regime,kospi_return,밸런스형_return,밸런스형_winrate,저평가형_return,저평가형_winrate,모멘텀형_return,모멘텀형_winrate,국면대응형_return,국면대응형_winrate
2015-12-31,2016-02-14,2016-05-15,bear,5.627215121898832,7.159986968195118,70.0,7.062250730374624,80.0,6.6762251966859845,60.0,7.964029937482198,80.0
2016-03-31,2016-05-15,2016-08-14,sideways,4.195313810082757,4.495593466339079,50.0,1.0168955056087723,45.0,14.152956119919589,66.66666666666666,3.2349869583369526,45.0
2016-06-30,2016-08-14,2016-11-14,bull,-3.5824510684845823,-7.302030963153453,15.0,-6.053891333660863,35.0,-4.374861721736768,13.333333333333334,-5.59398888538211,20.0
2016-09-30,2016-11-14,2017-02-14,sideways,5.073440032414922,-0.5875942067373907,50.0,3.346413124503795,40.0,1.7268320137387483,73.33333333333333,-2.4295921262060363,40.0
2016-12-31,2017-02-14,2017-05-15,sideways,10.415652400256437,13.891008508860997,70.0,7.401403632273511,60.0,7.284055256364624,46.666666666666664,8.05088369278852,60.0
2017-03-31,2017-05-15,2017-08-14,bull,1.9020801955776712,4.390560098150561,40.0,-2.2622996290261064,45.0,0.3802217473669079,33.33333333333333,3.5968834478812597,45.0
2017-06-30,2017-08-14,2017-11-14,bull,8.243438921781166,14.122029587577392,80.0,15.689523400705639,80.0,3.526332156094907,40.0,9.814744820151109,70.0
2017-09-30,2017-11-14,2018-02-14,bull,-4.148196814742111,5.341255826341814,55.00000000000001,5.11406884138157,60.0,1.523242945260876,46.666666666666664,8.080789055373604,55.00000000000001
2017-12-31,2018-02-14,2018-05-15,sideways,1.5157959064013626,6.911826455783983,55.00000000000001,-1.6898728622383064,40.0,1.8508239399734043,40.0,5.785055395352426,55.00000000000001
2018-03-31,2018-05-15,2018-08-14,sideways,-8.11985975416304,-9.342760098600435,25.0,-15.325510019320228,20.0,-8.6834166156744,26.666666666666668,-8.914173855095816,30.0
2018-06-30,2018-08-14,2018-11-14,bear,-8.449207803763748,-11.939425092337256,10.0,-14.313076282617235,10.0,-10.709329059845262,26.666666666666668,-13.317059830544107,20.0
2018-09-30,2018-11-14,2019-02-14,bear,7.630376441575382,7.727963608628137,75.0,13.885333661835222,80.0,-4.489917326691982,26.666666666666668,13.074746071405082,90.0
2018-12-31,2019-02-14,2019-05-15,sideways,-5.978390277871359,29.154310919972215,85.0,20.811505920573133,65.0,30.73525603618889,73.33333333333333,28.834387022096063,85.0
2019-03-31,2019-05-15,2019-08-14,bear,-7.3782241802769715,-4.316788455461692,30.0,-12.768705278179613,20.0,-3.6910669987375715,26.666666666666668,-16.426055370923528,15.0
2019-06-30,2019-08-14,2019-11-14,bear,10.36231472835425,0.7619143770066381,45.0,3.18123232191478,50.0,-2.922295198874844,46.666666666666664,5.046682644986399,55.00000000000001
2019-09-30,2019-11-14,2020-02-14,sideways,4.878390822866185,12.237950255855917,60.0,7.422708959660072,60.0,0.41030314870986667,53.333333333333336,9.23278583709905,65.0
2019-12-31,2020-02-14,2020-05-15,bull,-14.09838696018435,0.8568208611312004,15.0,-11.969166867259942,20.0,-8.902613720205357,26.666666666666668,-6.340116795938181,25.0
2020-03-31,2020-05-15,2020-08-14,bear,24.91646257938649,22.20885911792729,60.0,25.184969053024556,75.0,29.55206453226204,60.0,24.849137186242928,75.0
2020-06-30,2020-08-14,2020-11-14,bull,3.587969212748554,3.2487688632186447,50.0,2.4921718219007176,55.00000000000001,-0.09615270525756685,46.666666666666664,-2.1803634296432377,45.0
2020-09-30,2020-11-14,2021-02-14,bull,21.924633213135493,16.081844106167612,65.0,20.75523386937058,70.0,12.521251434321126,53.333333333333336,16.287043595832635,60.0
2020-12-31,2021-02-14,2021-05-15,bull,0.20082618366699112,-1.2185449503512813,35.0,9.261100768375291,60.0,3.7633651533236945,46.666666666666664,4.416284021657774,50.0
2021-03-31,2021-05-15,2021-08-14,bull,1.1730663706085664,6.3299063927588115,40.0,8.537002121344106,35.0,15.913368131006113,53.333333333333336,10.934665252367695,45.0
2021-06-30,2021-08-14,2021-11-14,bull,-5.545180061659072,17.45215293869747,35.0,13.959659038895762,30.0,32.53707610705381,40.0,24.644688703264322,45.0
2021-09-30,2021-11-14,2022-02-14,bear,-9.836240465141088,0.5436828670923433,40.0,-2.4632887480755805,25.0,-11.127672656755692,13.333333333333334,-3.5823337856974162,25.0
2021-12-31,2022-02-14,2022-05-15,bear,-3.7064426433177644,-2.1158234501816335,55.00000000000001,7.000193256271386,60.0,-4.392827928489883,46.666666666666664,4.383772707504388,60.0
2022-03-31,2022-05-15,2022-08-14,bear,-2.643477189225818,-9.172647142195462,30.0,-10.934628210061447,25.0,-5.317014459580994,40.0,-12.076019752085227,20.0
2022-06-30,2022-08-14,2022-11-14,bear,-2.323644573557737,-8.322021192805998,25.0,-7.153483844257307,25.0,-1.9069591343708265,40.0,-6.130355547345952,25.0
2022-09-30,2022-11-14,2023-02-14,sideways,-0.36409189178268075,12.121235589654141,70.0,9.656961802214674,60.0,22.24004872095005,60.0,4.911091482644489,60.0
2022-12-31,2023-02-14,2023-05-15,sideways,0.5560422446099222,7.83279572904326,60.0,5.88095370233828,55.00000000000001,21.497351026391446,60.0,6.021043294895615,60.0
2023-03-31,2023-05-15,2023-08-14,bull,3.691290055861418,10.982535164958453,55.00000000000001,12.617518753515126,40.0,14.754149002830529,53.333333333333336,17.87553644971216,55.00000000000001
2023-06-30,2023-08-14,2023-11-14,bull,-5.353051690672805,-2.634798664456297,35.0,-7.0133010498310515,25.0,-10.787288147260051,13.333333333333334,-3.6881350835672935,25.0
2023-09-30,2023-11-14,2024-02-14,sideways,7.692181239083529,4.46581157128523,50.0,7.248719932983879,60.0,2.323717341109214,53.333333333333336,7.207111937585599,55.00000000000001
2023-12-31,2024-02-14,2024-05-15,bull,4.194747406904242,40.82651168969769,75.0,14.080885075460278,50.0,19.540608722348473,73.33333333333333,17.154185201413636,85.0
2024-03-31,2024-05-15,2024-08-14,bull,-3.9411551035234305,2.485187284521317,50.0,5.298740399061895,55.00000000000001,20.00838909216029,46.666666666666664,10.843113869093363,45.0
2024-06-30,2024-08-14,2024-11-14,sideways,-8.532425789374166,-11.905647899928676,35.0,-10.479780303111252,25.0,3.701757596826489,53.333333333333336,-9.067005553918538,40.0
2024-09-30,2024-11-14,2025-02-14,bear,7.118642666380026,13.7765489012877,70.0,10.877260643252004,70.0,13.156724069134663,73.33333333333333,11.840712263500452,65.0
2024-12-31,2025-02-14,2025-05-15,sideways,1.1697960286370268,7.691679298609924,60.0,1.0333212070660103,65.0,14.464074011844534,66.66666666666666,7.7408143802347364,55.00000000000001
2025-03-31,2025-05-15,2025-08-14,sideways,23.052919095431367,23.82268803055109,80.0,17.55275674005535,80.0,22.628394827662827,80.0,22.16225730247552,80.0
2025-06-30,2025-08-14,2025-11-14,bull,24.364316139952756,6.573748026475135,50.0,26.817876166147016,70.0,36.4901104454359,66.66666666666666,17.00726970637441,65.0
