quarter,sig_date,next_sig_date,regime,kospi_return,밸런스형_return,밸런스형_winrate,저평가형_return,저평가형_winrate,모멘텀형_return,모멘텀형_winrate,국면대응형_return,국면대응형_winrate
2015-12-31,2016-02-14,2016-05-15,bear,5.627215121898832,7.159986968195118,70.0,7.328705223977451,80.0,6.6762251966859845,60.0,8.230484431085022,80.0
2016-03-31,2016-05-15,2016-08-14,sideways,4.195313810082757,2.3661415180003216,45.0,1.1313506994759073,50.0,14.152956119919589,66.66666666666666,1.9939256688212859,45.0
2016-06-30,2016-08-14,2016-11-14,bull,-3.5824510684845823,-5.72300323439172,15.0,-5.055155088783328,30.0,-4.374861721736768,13.333333333333334,-2.895212067074029,20.0
2016-09-30,2016-11-14,2017-02-14,sideways,5.073440032414922,0.4355869476542663,50.0,0.8362294439872308,45.0,1.7268320137387483,73.33333333333333,0.3355869476542662,50.0
2016-12-31,2017-02-14,2017-05-15,sideways,10.415652400256437,13.835692607106754,65.0,9.86062271990563,70.0,7.284055256364624,46.666666666666664,9.626059580534479,60.0
2017-03-31,2017-05-15,2017-08-14,bull,1.9020801955776712,4.716115116555793,45.0,0.8518609654451426,45.0,0.3802217473669079,33.33333333333333,6.6221666992380745,50.0
2017-06-30,2017-08-14,2017-11-14,bull,8.243438921781166,14.92258730129133,85.0,15.34753861259046,90.0,3.526332156094907,40.0,12.018460067702705,70.0
2017-09-30,2017-11-14,2018-02-14,bull,-4.148196814742111,5.253619727283857,60.0,6.68070232031161,60.0,1.523242945260876,46.666666666666664,8.255737534224986,55.00000000000001
2017-12-31,2018-02-14,2018-05-15,sideways,1.5157959064013626,5.95725843237248,45.0,-2.1085755893944023,35.0,1.8508239399734043,40.0,3.8836191331420986,45.0
2018-03-31,2018-05-15,2018-08-14,sideways,-8.11985975416304,-7.513782182367928,30.0,-10.810556156041352,25.0,-8.6834166156744,26.666666666666668,-8.292459258994999,30.0
2018-06-30,2018-08-14,2018-11-14,bear,-8.449207803763748,-11.789425092337256,10.0,-17.03389597196854,5.0,-10.709329059845262,26.666666666666668,-15.863036327594282,15.0
2018-09-30,2018-11-14,2019-02-14,bear,7.630376441575382,7.727963608628137,75.0,13.81436665055025,85.0,-4.489917326691982,26.666666666666668,11.426044377501501,80.0
2018-12-31,2019-02-14,2019-05-15,sideways,-5.978390277871359,30.285107432693366,85.0,13.028730184793115,55.00000000000001,30.73525603618889,73.33333333333333,28.379834001775485,85.0
2019-03-31,2019-05-15,2019-08-14,bear,-7.3782241802769715,-4.316788455461692,30.0,-7.101827987730867,25.0,-3.6910669987375715,26.666666666666668,-12.481496934249348,25.0
2019-06-30,2019-08-14,2019-11-14,bear,10.36231472835425,0.7619143770066381,45.0,1.9798271231276963,45.0,-2.922295198874844,46.666666666666664,4.2077947348321425,55.00000000000001
2019-09-30,2019-11-14,2020-02-14,sideways,4.878390822866185,9.889228374489619,60.0,8.962479061785487,60.0,0.41030314870986667,53.333333333333336,9.332750115333438,60.0
2019-12-31,2020-02-14,2020-05-15,bull,-14.09838696018435,-0.03311201978012459,20.0,-9.226052982329767,25.0,-8.902613720205357,26.666666666666668,1.7824107337868298,20.0
2020-03-31,2020-05-15,2020-08-14,bear,24.91646257938649,22.258859117927287,60.0,23.850779542865567,65.0,29.55206453226204,60.0,21.534743873470493,70.0
2020-06-30,2020-08-14,2020-11-14,bull,3.587969212748554,-1.4151011364448565,45.0,1.876269965823686,55.00000000000001,-0.09615270525756685,46.666666666666664,2.5916958948331996,45.0
2020-09-30,2020-11-14,2021-02-14,bull,21.924633213135493,16.081844106167612,65.0,18.205847055624936,65.0,12.521251434321126,53.333333333333336,15.65755709453207,55.00000000000001
2020-12-31,2021-02-14,2021-05-15,bull,0.20082618366699112,-1.324628692214176,35.0,16.479781775137727,60.0,3.7633651533236945,46.666666666666664,2.51707316100885,50.0
2021-03-31,2021-05-15,2021-08-14,bull,1.1730663706085664,6.149402973548806,40.0,8.814751467284804,40.0,15.913368131006113,53.333333333333336,7.265604899065684,40.0
2021-06-30,2021-08-14,2021-11-14,bull,-5.545180061659072,16.77293863811632,30.0,-5.796698719871288,25.0,32.53707610705381,40.0,21.55054912172352,35.0
2021-09-30,2021-11-14,2022-02-14,bear,-9.836240465141088,0.5436828670923433,40.0,1.0338221435274313,35.0,-11.127672656755692,13.333333333333334,-0.5547391361135204,40.0
